,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Comoros,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0
Congo,17.0,1002.2,17.0,17.1,1008.9,17.1,19.3,1136.9,19.3,16.9,999.7,16.9,16.4,967.1,16.4,15.4,909.7,15.4,14.9,881.9,14.9,14.7,867.1,14.7,13.9,822.9,13.9,13.9,817.4,13.9,14.0,825.1,14.0,14.1,832.7,14.1,13.7,810.3,13.7,13.6,801.7,13.6,13.8,816.2,13.8,13.8,812.9,13.8,13.7,810.8,13.7,13.9,820.8,13.9,14.7,864.4,14.7,15.5,916.5,15.5,16.0,942.3,16.0,16.1,950.8,16.1
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.5,0.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.1,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,0.5,29.3,0.5,0.5,29.1,0.5,0.5,28.1,0.5,0.5,27.1,0.5,0.4,25.8,0.4,0.4,24.6,0.4,0.4,23.3,0.4,0.4,22.0,0.4,0.4,20.9,0.4,0.3,20.2,0.3,0.3,19.1,0.3,0.3,18.3,0.3,0.3,18.7,0.3,0.3,18.0,0.3,0.3,17.3,0.3,0.3,17.2,0.3,0.3,17.5,0.3,0.3,18.4,0.3,0.3,19.6,0.3,0.4,21.5,0.4,0.4,21.0,0.4,0.3,19.6,0.3
Democratic Republic of the Congo,29.7,1750.1,29.7,35.9,2120.0,35.9,36.5,2152.8,36.5,35.8,2112.6,35.8,37.2,2194.0,37.2,39.1,2307.2,39.1,53.3,3142.5,53.3,59.1,3485.0,59.1,63.1,3720.5,63.1,72.3,4265.9,72.3,77.6,4576.4,77.6,78.6,4637.1,78.6,82.3,4854.7,82.3,84.5,4984.4,84.5,87.1,5139.9,87.1,88.4,5218.4,88.4,89.3,5271.0,89.3,92.1,5433.6,92.1,94.7,5584.6,94.7,96.2,5678.2,96.2,96.9,5717.0,96.9,97.4,5744.0,97.4
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0.1,7.1,0.1,0.1,7.9,0.1,0.1,8.6,0.1,0.2,9.5,0.2,0.2,11.5,0.2,0.3,14.9,0.3,0.4,21.0,0.4,0.4,22.6,0.4,0.4,22.1,0.4,0.6,33.1,0.6,0.6,37.8,0.6,0.7,42.4,0.7,0.8,45.2,0.8,0.8,48.4,0.8,1.0,58.7,1.0,1.1,66.0,1.1,1.3,74.4,1.3,1.4,81.5,1.4,1.4,83.6,1.4,1.4,83.8,1.4,1.4,80.0,1.4,1.2,73.5,1.2
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,1.7,102.2,1.7,1.8,106.3,1.8,1.4,84.4,1.4,1.5,90.6,1.5,1.5,91.0,1.5,1.4,84.8,1.4,1.3,74.3,1.3,0.9,52.4,0.9,1.2,69.2,1.2,1.0,60.7,1.0,1.6,94.0,1.6,2.2,128.5,2.2,2.7,158.1,2.7,3.3,196.5,3.3,4.0,238.1,4.0,4.6,273.3,4.6,5.2,305.6,5.2,5.7,338.8,5.7,6.2,367.1,6.2,6.5,381.7,6.5,6.7,393.5,6.7,6.8,399.0,6.8
Ecuador,0.7,4.3,0.7,0.7,4.6,0.7,0.7,4.9,0.7,0.5,5.3,0.5,0.4,5.6,0.4,1.2,5.8,1.2,0.0,9.5,0.0,0.0,3.5,0.0,0.5,3.7,0.5,0.2,3.9,0.2,0.2,4.1,0.2,0.3,4.2,0.3,0.3,4.4,0.3,0.3,4.6,0.3,0.3,4.7,0.3,0.3,4.9,0.3,0.4,5.1,0.4,0.4,5.3,0.4,0.4,5.5,0.4,0.4,5.7,0.4,0.4,6.0,0.4,0.4,6.4,0.4
Egypt,1.9,112.3,1.9,1.9,111.8,1.9,1.9,109.3,1.9,1.8,107.5,1.8,1.8,105.5,1.8,1.8,103.7,1.8,1.7,101.0,1.7,1.6,93.2,1.6,1.4,85.0,1.4,1.3,77.4,1.3,1.2,69.1,1.2,1.0,61.8,1.0,1.0,56.7,1.0,0.9,51.7,0.9,0.8,47.0,0.8,0.7,42.3,0.7,0.7,38.7,0.7,0.6,35.3,0.6,0.5,32.0,0.5,0.5,29.6,0.5,0.5,27.1,0.5,0.4,24.7,0.4
El Salvador,0.2,13.3,0.2,0.2,14.1,0.2,0.2,14.2,0.2,0.2,14.3,0.2,0.2,13.8,0.2,0.2,12.7,0.2,0.2,12.7,0.2,0.2,14.2,0.2,0.2,12.2,0.2,0.2,14.7,0.2,0.4,20.9,0.4,0.4,23.7,0.4,0.4,25.3,0.4,0.5,26.8,0.5,0.5,29.2,0.5,0.5,30.5,0.5,0.6,34.0,0.6,0.7,41.9,0.7,0.9,55.6,0.9,1.2,68.4,1.2,1.4,80.2,1.4,1.4,82.5,1.4
Equatorial Guinea,5.3,313.3,5.3,5.1,303.2,5.1,5.0,293.9,5.0,4.8,283.2,4.8,4.8,285.2,4.8,4.6,273.0,4.6,4.6,270.7,4.6,4.3,252.3,4.3,5.1,301.0,5.1,5.6,332.3,5.6,5.5,322.7,5.5,5.1,300.9,5.1,4.9,289.9,4.9,4.4,262.3,4.4,4.2,247.9,4.2,4.0,235.7,4.0,3.8,226.5,3.8,3.6,212.5,3.6,3.3,194.8,3.3,3.0,178.1,3.0,2.7,161.3,2.7,2.5,145.6,2.5
Eritrea,0.2,9.2,0.2,0.1,6.8,0.1,0.2,11.1,0.2,0.2,9.5,0.2,0.2,10.8,0.2,0.2,13.6,0.2,0.2,13.4,0.2,0.3,17.4,0.3,0.4,22.4,0.4,0.5,28.0,0.5,0.6,33.8,0.6,0.7,39.6,0.7,0.8,44.6,0.8,0.9,51.7,0.9,1.1,64.4,1.1,1.4,81.1,1.4,1.5,87.9,1.5,1.6,96.9,1.6,1.7,101.0,1.7,1.8,106.0,1.8,1.9,110.6,1.9,1.9,114.2,1.9
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eswatini,1.6,91.6,1.6,2.4,139.2,2.4,2.1,121.0,2.1,2.7,158.8,2.7,3.7,221.0,3.7,2.5,149.5,2.5,3.1,184.8,3.1,4.4,260.7,4.4,3.9,230.0,3.9,4.6,271.4,4.6,6.7,397.8,6.7,11.6,683.2,11.6,15.9,938.2,15.9,18.1,1070.3,18.1,18.1,1069.8,18.1,19.9,1176.4,19.9,25.0,1477.9,25.0,24.8,1460.6,24.8,24.4,1439.1,24.4,24.0,1415.0,24.0,23.9,1408.2,23.9,23.1,1363.5,23.1
Ethiopia,21.9,1292.8,21.9,22.6,1335.2,22.6,24.9,1466.6,24.9,27.5,1621.6,27.5,31.3,1844.1,31.3,30.3,1786.4,30.3,31.8,1875.2,31.8,35.9,2116.6,35.9,41.0,2421.2,41.0,56.5,3335.3,56.5,75.0,4427.0,75.0,91.2,5382.4,91.2,108.4,6394.5,108.4,125.9,7427.0,125.9,144.5,8526.2,144.5,156.6,9236.6,156.6,171.2,10103.0,171.2,185.0,10914.6,185.0,199.9,11796.1,199.9,214.8,12674.9,214.8,228.8,13499.9,228.8,240.1,14164.8,240.1
Fiji,0.0,2.8,0.0,0.0,2.7,0.0,0.0,2.7,0.0,0.0,2.0,0.0,0.0,2.6,0.0,0.1,3.3,0.1,0.1,3.2,0.1,0.0,2.6,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,1.4,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,3.3,0.0,0.0,1.4,0.0,1.1,3.0,1.1
Gabon,2.4,141.8,2.4,2.5,145.3,2.5,3.2,188.2,3.2,3.6,210.0,3.6,3.8,224.4,3.8,4.1,240.6,4.1,4.6,271.3,4.6,4.8,285.5,4.8,5.1,300.9,5.1,5.7,333.7,5.7,6.0,354.9,6.0,6.3,369.6,6.3,6.6,391.0,6.6,6.8,402.0,6.8,7.0,414.6,7.0,7.2,427.4,7.2,7.2,424.9,7.2,7.3,428.5,7.3,7.4,434.4,7.4,7.5,440.7,7.5,7.5,441.9,7.5,7.4,435.8,7.4
Gambia,1.0,58.2,1.0,1.2,71.9,1.2,1.1,66.7,1.1,1.0,60.4,1.0,1.0,57.5,1.0,1.0,57.3,1.0,1.0,60.5,1.0,1.1,67.1,1.1,1.1,65.1,1.1,1.2,68.4,1.2,1.4,81.2,1.4,1.7,99.4,1.7,2.3,136.7,2.3,2.6,154.2,2.6,2.6,154.7,2.6,2.6,153.6,2.6,2.6,153.2,2.6,2.6,152.4,2.6,2.5,148.2,2.5,2.4,141.8,2.4,2.3,133.3,2.3,2.1,121.9,2.1
Georgia,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,2.0,0.0,0.0,1.9,0.0,0.0,2.3,0.0,0.0,2.8,0.0,0.0,2.8,0.0,0.0,2.3,0.0,0.0,2.4,0.0,0.1,3.0,0.1,0.0,2.9,0.0,0.1,3.0,0.1,0.0,2.5,0.0,0.0,2.7,0.0,0.0,2.1,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.4,0.0
Germany,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.4,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.4,0.0,0.0,4.7,0.0
Ghana,19.7,1160.3,19.7,23.3,1375.1,23.3,24.7,1456.2,24.7,26.2,1546.2,26.2,28.4,1674.6,28.4,28.6,1689.5,28.6,29.1,1714.9,29.1,30.0,1767.6,30.0,31.0,1828.0,31.0,31.5,1858.1,31.5,35.1,2070.1,35.1,39.3,2317.5,39.3,42.8,2526.0,42.8,44.9,2651.6,44.9,49.7,2930.9,49.7,54.0,3186.9,54.0,55.5,3272.1,55.5,56.5,3335.1,56.5,58.2,3431.7,58.2,60.0,3537.1,60.0,61.6,3637.0,61.6,62.7,3701.6,62.7
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,1.7,99.1,1.7,1.8,106.8,1.8,2.0,116.6,2.0,2.2,127.6,2.2,2.4,142.6,2.4,2.5,145.4,2.5,2.6,151.7,2.6,2.6,151.1,2.6,2.8,162.3,2.8,3.4,199.5,3.4,3.7,218.9,3.7,4.3,252.9,4.3,4.7,277.7,4.7,5.3,315.5,5.3,6.1,357.1,6.1,6.7,396.9,6.7,7.6,446.8,7.6,8.0,474.0,8.0,8.3,491.1,8.3,8.4,494.3,8.4,8.2,485.4,8.2,7.9,464.9,7.9
Guinea,11.4,671.8,11.4,12.7,751.0,12.7,15.6,918.2,15.6,16.2,956.4,16.2,15.2,898.8,15.2,14.0,828.2,14.0,14.7,866.2,14.7,12.3,726.1,12.3,13.8,816.1,13.8,15.9,936.5,15.9,16.4,969.2,16.4,17.4,1024.2,17.4,17.4,1027.8,17.4,16.9,999.4,16.9,16.9,998.1,16.9,17.4,1025.8,17.4,17.0,1005.9,17.0,16.6,980.3,16.6,16.5,970.9,16.5,16.5,975.1,16.5,16.6,981.5,16.6,16.5,975.9,16.5
Guinea-Bissau,3.6,213.7,3.6,3.7,219.6,3.7,3.9,230.6,3.9,3.9,232.4,3.9,3.8,224.8,3.8,3.7,218.6,3.7,3.5,206.1,3.5,3.9,229.6,3.9,5.2,306.1,5.2,6.0,352.3,6.0,6.4,378.6,6.4,6.7,394.8,6.7,7.0,411.5,7.0,7.1,420.9,7.1,7.0,415.0,7.0,7.0,413.6,7.0,7.0,414.3,7.0,6.8,400.9,6.8,6.5,385.6,6.5,6.2,367.0,6.2,5.8,343.4,5.8,5.4,315.8,5.4
Guyana,0.0,5.6,0.0,0.0,5.9,0.0,0.0,5.7,0.0,0.0,5.9,0.0,0.0,6.2,0.0,0.0,6.5,0.0,0.0,6.7,0.0,0.0,6.0,0.0,0.0,3.8,0.0,0.0,10.5,0.0,0.0,6.2,0.0,3.2,2.2,3.2,0.0,4.5,0.0,0.0,10.2,0.0,5.1,22.6,5.1,0.0,16.9,0.0,0.0,30.9,0.0,0.0,32.4,0.0,0.0,36.4,0.0,0.0,41.8,0.0,0.0,32.8,0.0,0.0,21.7,0.0
Haiti,2.0,115.4,2.0,2.1,126.2,2.1,2.0,116.2,2.0,1.9,109.4,1.9,2.3,135.7,2.3,2.2,132.3,2.2,1.9,114.9,1.9,2.0,120.2,2.0,2.2,130.4,2.2,2.8,165.5,2.8,4.3,255.8,4.3,8.9,524.9,8.9,5.8,342.8,5.8,7.5,443.9,7.5,8.9,523.7,8.9,10.9,643.1,10.9,12.3,727.7,12.3,13.4,792.3,13.4,14.3,840.9,14.3,15.0,887.8,15.0,15.9,937.0,15.9,16.6,976.7,16.6
Honduras,0.4,21.0,0.4,0.4,21.8,0.4,0.4,21.6,0.4,0.4,21.7,0.4,0.5,26.6,0.5,0.5,27.7,0.5,0.5,28.0,0.5,0.5,28.0,0.5,0.5,31.9,0.5,0.6,36.1,0.6,0.7,39.2,0.7,0.8,49.7,0.8,1.0,61.4,1.0,1.4,81.5,1.4,1.7,101.8,1.7,2.1,124.7,2.1,2.5,147.6,2.5,3.0,178.7,3.0,3.6,212.0,3.6,4.1,239.3,4.1,4.5,262.8,4.5,4.8,281.2,4.8
Hungary,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,22.7,1337.8,22.7,27.0,1594.6,27.0,30.6,1805.2,30.6,30.8,1818.7,30.8,30.6,1806.0,30.6,36.8,2169.0,36.8,43.3,2554.4,43.3,49.4,2914.0,49.4,57.3,3380.5,57.3,63.2,3730.9,63.2,78.5,4631.7,78.5,98.3,5801.4,98.3,114.2,6737.0,114.2,135.5,7995.0,135.5,159.9,9436.0,159.9,186.1,10977.7,186.1,209.5,12360.1,209.5,233.2,13760.5,233.2,252.8,14912.8,252.8,271.0,15987.5,271.0,285.5,16845.2,285.5,307.4,18135.8,307.4
Indonesia,23.0,1356.2,23.0,23.7,1400.2,23.7,24.5,1442.7,24.5,25.1,1482.4,25.1,26.1,1539.7,26.1,27.0,1595.4,27.0,27.7,1637.0,27.7,28.2,1661.5,28.2,28.2,1663.4,28.2,27.0,1593.9,27.0,24.6,1452.4,24.6,21.9,1290.8,21.9,20.2,1192.5,20.2,18.4,1084.2,18.4,15.3,905.3,15.3,12.4,732.2,12.4,9.7,570.9,9.7,8.2,486.3,8.2,5.2,303.9,5.2,3.5,207.9,3.5,2.4,139.6,2.4,1.6,94.6,1.6
Iran (Islamic Republic of),0.8,48.0,0.8,0.9,53.2,0.9,1.1,63.7,1.1,1.3,75.2,1.3,1.5,86.1,1.5,1.7,97.5,1.7,1.8,108.0,1.8,2.0,116.9,2.0,2.1,123.9,2.1,2.2,128.6,2.2,2.2,130.3,2.2,2.2,128.8,2.2,2.2,127.1,2.2,2.1,123.6,2.1,2.0,119.3,2.0,1.9,110.9,1.9,1.7,100.8,1.7,1.5,87.8,1.5,1.3,74.1,1.3,1.0,60.2,1.0,0.8,46.4,0.8,0.6,34.4,0.6
Iraq,0.3,17.4,0.3,0.3,16.9,0.3,0.3,17.1,0.3,0.3,16.5,0.3,0.3,16.6,0.3,0.3,16.0,0.3,0.3,16.2,0.3,0.3,15.5,0.3,0.2,14.0,0.2,0.2,13.4,0.2,0.2,12.6,0.2,0.2,11.6,0.2,0.2,10.7,0.2,0.2,10.0,0.2,0.2,10.3,0.2,0.2,9.7,0.2,0.2,9.9,0.2,0.2,9.1,0.2,0.2,9.2,0.2,0.1,8.4,0.1,0.1,8.5,0.1,0.1,7.7,0.1
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0
Jamaica,0.2,14.5,0.2,0.3,20.2,0.3,0.3,17.8,0.3,0.3,19.2,0.3,0.3,18.9,0.3,0.4,25.3,0.4,0.5,26.6,0.5,0.5,29.8,0.5,0.5,28.2,0.5,0.4,20.6,0.4,0.4,21.5,0.4,0.4,21.8,0.4,0.5,27.8,0.5,0.5,31.2,0.5,0.8,48.7,0.8,1.0,61.7,1.0,1.3,76.1,1.3,1.5,87.5,1.5,1.5,89.9,1.5,1.6,92.7,1.6,1.6,96.1,1.6,1.8,103.8,1.8
